City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fremont,37.5483,-121.9886,33.15,56,0,6.17,US,1694560911
1,vila velha,-20.3297,-40.2925,22.97,89,20,4.12,BR,1694561688
2,sola,-13.8833,167.55,25.09,82,79,8.2,VU,1694561688
3,belmonte,-15.8631,-38.8828,22.78,84,9,2.34,BR,1694561689
4,stanley,54.868,-1.6985,9.32,92,20,2.57,GB,1694561689
5,san patricio,28.017,-97.5169,35.3,55,21,7.12,US,1694561690
6,thompson,55.7435,-97.8558,18.09,45,20,4.63,CA,1694561690
7,grytviken,-54.2811,-36.5092,-8.44,80,80,5.46,GS,1694561691
8,geraldton,-28.7667,114.6,17.23,88,40,6.69,AU,1694561691
9,hadibu,12.65,54.0333,26.23,81,27,7.51,YE,1694561692
10,ghat,24.9647,10.1728,26.77,24,0,1.56,LY,1694561692
11,atafu village,-8.5421,-172.5159,28.69,71,10,5.67,TK,1694561693
12,port-aux-francais,-49.35,70.2167,1.76,75,47,14.21,TF,1694561693
13,west island,-12.1568,96.8225,24.99,83,40,5.14,CC,1694561693
14,longyearbyen,78.2186,15.6401,0.91,86,100,0.0,SJ,1694561695
15,utrik,11.2278,169.8474,28.37,77,100,6.43,MH,1694561696
16,vardenis,40.1827,45.7311,7.71,93,100,1.88,AM,1694561696
17,papatowai,-46.5619,169.4708,8.71,74,91,8.59,NZ,1694561697
18,puerto ayora,-0.7393,-90.3518,24.19,89,69,2.24,EC,1694561697
19,fort st. john,56.2499,-120.8529,19.94,45,75,7.2,CA,1694561697
20,brookings,44.3114,-96.7984,20.1,50,0,3.09,US,1694561492
21,waitangi,-43.9535,-176.5597,12.12,66,1,4.92,NZ,1694561698
22,edinburgh of the seven seas,-37.0676,-12.3116,11.84,69,39,11.15,SH,1694561699
23,olonkinbyen,70.9221,-8.7187,3.36,64,98,3.08,SJ,1694561699
24,amga,60.8953,131.9608,4.89,76,100,2.34,RU,1694561700
25,invercargill,-46.4,168.35,8.34,86,92,7.15,NZ,1694561498
26,kodiak,57.79,-152.4072,10.73,76,20,4.63,US,1694561701
27,constantia,44.1833,28.65,15.39,66,0,3.5,RO,1694561701
28,adamstown,-25.066,-130.1015,18.23,62,92,10.81,PN,1694561702
29,maryborough,-25.5333,152.7,22.51,44,71,2.88,AU,1694561702
30,el gouna,27.3942,33.6782,30.05,50,19,5.45,EG,1694561703
31,colonia,50.9333,6.95,19.42,89,40,3.09,DE,1694561433
32,egilsstadir,65.2653,-14.3948,1.95,69,0,3.09,IS,1694561704
33,nieuw amsterdam,5.8833,-55.0833,30.09,75,20,1.03,SR,1694561705
34,katsuura,35.1333,140.3,26.76,76,17,3.37,JP,1694561705
35,blackmans bay,-43.0167,147.3167,13.62,71,100,2.24,AU,1694561706
36,newman,37.3138,-121.0208,34.19,15,0,2.3,US,1694561706
37,kanina khas,28.3333,76.3167,27.62,74,14,2.19,IN,1694561707
38,zeerust,-25.5369,26.0751,10.39,76,51,5.6,ZA,1694561708
39,coahuayana de hidalgo,18.7,-103.6583,29.52,79,34,2.14,MX,1694561708
40,guanajuato,21.0186,-101.2591,28.44,26,0,7.43,MX,1694561643
41,rongelap,11.1635,166.8941,28.54,77,94,7.06,MH,1694561709
